,sentence,span,propaganda
10263,"What we have here are historical errors.
","What we have here are historical errors.
",0
10264,"First of all, the figure of six million is a historical lie.
",historical lie,1
10265,"In addition, claiming that it happened to the Jews alone excludes the non-Jews who were tortured by Hitler.
",claiming that it happened to the Jews alone excludes the non-Jews who were tortured by Hitler,1
10266,"So was it annihilation?
",annihilation,1
10267,"Yes, it was.
","Yes, it was.
",0
10268,"Who did Hitler annihilate?
",annihilate,1
10269,"He annihilated a group of races and people, some of whom were even German.
",annihilated ,1
10270,"Hitler annihilated 400,000 Germans who were handicapped or suffered from chronic diseases.
",annihilated ,1
10271,"Hitler did not annihilate the Jews only.
",annihilate ,1
10272,"[…] “Hitler was not the first in the West to perpetrate a genocide.
","[…] “Hitler was not the first in the West to perpetrate a genocide.
",0
10273,"Inhuman and criminal annihilation runs in the veins of many in the West.
","Inhuman and criminal annihilation runs in the veins of many in the West.
",0
10274,"Hitler embodies one type of modern Western annihilation.
",modern Western annihilation,1
10275,"When the Americans occupied the republics of the Indians, they annihilated millions of human beings.
","When the Americans occupied the republics of the Indians, they annihilated millions of human beings",1
10276,"It is said that they annihilated 50-100 hundred million, but nobody ever mentions this.
","It is said that they annihilated 50-100 hundred million, but nobody ever mentions this",1
10277,"[…] “Was there annihilation?
",annihilation,1
10278,"Yes.
","Yes.
",0
10279,"Many races were annihilated.
",annihilated,1
10280,"The Auschwitz camp, which is in southern Poland, was a major and exceptional camp for detention, torture, and forced labor.
",exceptional,1
10281,"Many people were tortured and were starved to death there.
","Many people were tortured and were starved to death there.
",0
10282,"[…] “The Jews were banished, tortured, and annihilated because of their deeds.
","banished, tortured, and annihilated ",1
10283,"They were not banished for being Jews.
","They were not banished for being Jews.
",0
10284,"There were Jews in the Islamic countries and caliphates as well, but we never killed them just for being Jews.
","There were Jews in the Islamic countries and caliphates as well, but we never killed them just for being Jews.
",0
10285,"No, it never happened.
","No, it never happened",1
10286,"Hitler and the Nazi state knew the truth about the Jews, and therefore, they began tormenting and persecuting them.
",tormenting and persecuting them,1
10287,"[…] “That is when the Final Solution began.
","[…] “That is when the Final Solution began.
",0
10288,"The Nazis called it the ‘Final Solution’ of the Jews.
","The Nazis called it the ‘Final Solution’ of the Jews.
",0
10289,"When we say ‘Final Solution,’ we realize that many of the terms used by the Zionist state constitute Nazi terms, ideas, and notions.
",Final Solution,1
10290,"It is as if they are two faces of the same coin.
","It is as if they are two faces of the same coin.
",0
10291,"[…] “Since Germany and Europe did not want the Jews, the Nazis came up with the idea of sending the Jews to another country.
","Since Germany and Europe did not want the Jews, the Nazis came up with the idea of sending the Jews to another country",1
10292,"The Nazis suggested Madagascar, Ecuador, or an Arab country – Syria.
",The Nazis ,1
10293,"But after a while, the Nazis discovered that there were groups of Jews calling for the establishment of a state.
","But after a while, the Nazis discovered that there were groups of Jews calling for the establishment of a state.
",0
10294,"They were calling for a Zionist state.
","They were calling for a Zionist state.
",0
10295,"That is when the idea of deporting the Jews to Palestine arose….
","That is when the idea of deporting the Jews to Palestine arose….
",0
10296,"Article posted with permission from Robert Spencer
","Article posted with permission from Robert Spencer
",0
10297,"Who ‘Won’ the Trump-Kim Summit?
","Who ‘Won’ the Trump-Kim Summit?
",0
10298,"Last week’s Economist Magazine won the day with the best-ever headline about the Trump-Kim Jong-un summit: `Kim Jong Won!’
",best-ever,1
10299,"That said it all.
","That said it all.
",0
10300,"Just out of hospital, I was in no shape to compete with the great Economist or its very witty headline writers.
","Just out of hospital, I was in no shape to compete with the great Economist or its very witty headline writers.
",0
10301,"But after watching a week of post Singapore summit between Great White Father Trump and delinquent Kim Jong-un I must totally agree with the Economist.
",Great White Father,1
10302,"What was billed as a second-coming extravaganza between the two leaders – who have been trading insults of ‘little rocket man’ and ‘dotard’ (someone who is senile) turned out to be a very expensive photo op for both publicity seekers that made much noise but produced very little – at least so far.
",‘little rocket man’,1
10303,"It seemed as if two schoolyard bullies had been forced by the principal to shake hands.
",schoolyard bullies,1
10304,"Beyond gestures, North Korea’s leader certainly came out ahead.
","Beyond gestures, North Korea’s leader certainly came out ahead.
",0
